id;latitude;longitude;scientific_name;common_name;taxon_id;year
760856;10.837116;-85.619135;Odocoileus virginianus;Venado de cola blanca;42223;2014
1288129;10.8362416;-85.61671626;Odocoileus virginianus;Venado de cola blanca;42223;2015
1515873;10.89249;-85.60336;Odocoileus virginianus;Venado de cola blanca;42223;2006
4559552;10.78887605;-85.66945553;Odocoileus virginianus;Venado de cola blanca;42223;2016
9291146;10.837931;-85.705112;Odocoileus virginianus;Venado de cola blanca;42223;2017
11441294;10.83786167;-85.61872167;Odocoileus virginianus;Venado de cola blanca;42223;2016
17995124;10.87603191;-85.68957553;Odocoileus virginianus;Venado de cola blanca;42223;2018
19206673;10.83823333;-85.61847833;Odocoileus virginianus;Venado de cola blanca;42223;2018
19206715;10.823105;-85.634775;Odocoileus virginianus;Venado de cola blanca;42223;2018
19602143;10.76467;-85.65703667;Odocoileus virginianus;Venado de cola blanca;42223;2019
19851862;10.91518355;-85.57616498;Odocoileus virginianus;Venado de cola blanca;42223;2015
20559743;10.83696486;-85.61559519;Odocoileus virginianus;Venado de cola blanca;42223;2016
20845001;10.8379308;-85.7051116;Odocoileus virginianus;Venado de cola blanca;42223;2013
21382126;10.96735663;-85.53746134;Odocoileus virginianus;Venado de cola blanca;42223;2018
22524370;10.75774252;-85.35347112;Odocoileus virginianus;Venado de cola blanca;42223;2019
22719185;10.8379308;-85.7051116;Odocoileus virginianus;Venado de cola blanca;42223;2013
22719742;10.84385225;-85.68022347;Odocoileus virginianus;Venado de cola blanca;42223;2013
26583450;10.71470669;-85.59601665;Odocoileus virginianus;Venado de cola blanca;42223;2019
27326588;10.76938289;-85.35111973;Odocoileus virginianus;Venado de cola blanca;42223;2017
28002429;10.837931;-85.705112;Odocoileus virginianus;Venado de cola blanca;42223;2019
28354454;10.78047833;-85.66441333;Odocoileus virginianus;Venado de cola blanca;42223;2019
29138734;10.89070848;-85.59977186;Odocoileus virginianus;Venado de cola blanca;42223;2016
31417840;10.89111328;-85.59909821;Odocoileus virginianus;Venado de cola blanca;42223;2019
36350268;10.8365;-85.61589;Odocoileus virginianus;Venado de cola blanca;42223;2019
36456321;10.83999327;-85.6251475;Odocoileus virginianus;Venado de cola blanca;42223;2019
36522645;10.82830085;-85.62508449;Odocoileus virginianus;Venado de cola blanca;42223;2019
36756327;10.8359315;-85.61512212;Odocoileus virginianus;Venado de cola blanca;42223;2019
38156719;10.8366599;-85.61833255;Odocoileus virginianus;Venado de cola blanca;42223;2018
39199080;10.83928333;-85.61847;Odocoileus virginianus;Venado de cola blanca;42223;2020
39315862;10.8392589;-85.6184831;Odocoileus virginianus;Venado de cola blanca;42223;2020
39847732;10.83833075;-85.56055614;Odocoileus virginianus;Venado de cola blanca;42223;2020
